Symbol,Name,Latest,Change,%Change,Volume,"3M #Hi","3M %/High","3M %/Low",Time
AAPL,"Apple Inc",287.74,3.56,+1.25%,32974556,4,-0.19%,+17.02%,"15:29 ET"
ABCB,"Ameris Bancorp",87.06,0.48,+0.55%,159110,3,-1.34%,+18.59%,"15:26 ET"
ABEO,"Abeona Therapeutics",5.99,0.16,+2.74%,1201279,12,-1.57%,+41.25%,"15:29 ET"
ABEV,"Ambev S.A. ADR",3.43,0.06,+1.78%,25428978,7,-0.73%,+26.48%,"15:26 ET"
ABSI,"Absci Corp",6.05,0.44,+7.84%,4144880,20,-2.89%,+170.31%,"15:29 ET"
ACA,"Arcosa Inc",129.99,-1.26,-0.96%,155074,5,-3.94%,+30.42%,"15:27 ET"
ACLS,"Axcelis Tech Inc",169.62,29.92,+21.42%,1433649,18,-1.98%,+118.28%,"15:28 ET"
ACR,"Acres Commercial Realty Corp",23.05,0.41,+1.81%,12475,18,-0.09%,+29.15%,"15:07 ET"
ACRS,"Aclaris Therapts",4.74,-0.01,-0.21%,597288,13,-3.38%,+71.45%,"15:28 ET"
ADI,"Analog Devices",414.04,9.27,+2.29%,1833716,13,-0.82%,+37.26%,"15:29 ET"
ADV,"Advantage Solutions Inc",41.77,3.99,+10.56%,81466,16,-0.02%,+243.18%,"15:25 ET"
AEG,"Aegon N.V. ADR",8.39,0.22,+2.69%,3078473,8,-0.36%,+24.07%,"15:25 ET"
AERT,"Aeries Technology Inc",0.654,0.0009,+0.14%,88811,12,-2.55%,+147.06%,"15:14 ET"
AGM,"Federal Agricultural Mortgage Corp",181.86,10.58,+6.18%,126534,4,-1.74%,+34.00%,"15:25 ET"
AIN,"Albany International Corp",60.64,2.16,+3.69%,59320,7,-0.02%,+25.19%,"15:27 ET"
AIP,"Arteris Inc",31.55,1.42,+4.71%,666065,24,-0.84%,+133.52%,"15:29 ET"
AIT,"Applied Industrial Technologies",316.19,10.71,+3.51%,245211,6,-0.31%,+25.53%,"15:29 ET"
ALAB,"Astera Labs Inc",210.44,-5.25,-2.43%,6535523,8,-9.61%,+112.16%,"15:29 ET"
ALGM,"Allegro Microsystems Inc",50.75,1.07,+2.15%,2286087,10,-0.60%,+83.82%,"15:29 ET"
ALLR,"Allarity Therapeutics Inc",1.49,0.09,+6.43%,434557,9,-0.38%,+84.05%,"15:26 ET"
ALOT,"Astronova Inc",14.75,0.23,+1.58%,57008,15,-1.60%,+77.93%,"14:58 ET"
ALTG,"Alta Equipment Group Inc",8.41,0.36,+4.47%,172399,5,-1.82%,+68.01%,"15:17 ET"
ALX,"Alexander's Inc",256.3,5.03,+2.00%,21030,5,-0.76%,+20.09%,"15:12 ET"
AMAT,"Applied Materials",428,17.18,+4.18%,3903745,13,-1.87%,+34.36%,"15:29 ET"
AMBA,"Ambarella Inc",74.91,0.55,+0.74%,617986,7,-1.92%,+56.21%,"15:29 ET"
AMD,"Adv Micro Devices",419.93,64.67,+18.20%,73719337,19,-2.86%,+122.24%,"15:29 ET"
AME,"Ametek Inc",242.6,8.06,+3.44%,1027392,6,-0.37%,+16.82%,"15:28 ET"
AMH,"American Homes 4 Rent",32.52,0.24,+0.74%,2064939,7,-1.05%,+19.14%,"15:28 ET"
AMSC,"Amer Superconductor",56.64,1.63,+2.96%,802773,19,-0.72%,+113.68%,"15:26 ET"
AMWL,"American Well Corp Cl A",7.32,0.96,+15.09%,174206,8,-2.73%,+78.95%,"15:22 ET"
ANIP,"ANI Pharma Inc",85.02,0.39,+0.46%,132698,6,-0.86%,+21.78%,"15:29 ET"
AOSL,"Alpha and Omega Semi",49.2,5.45,+12.46%,1739201,14,-0.96%,+160.47%,"15:29 ET"
AP,"Ampco-Pittsburgh Corp",12.05,0.8,+7.11%,161459,12,-2.20%,+123.23%,"15:27 ET"
APLD,"Applied Digital Corp",43.35,3.47,+8.70%,25259933,3,-0.63%,+116.92%,"15:29 ET"
APLE,"Apple Hospitality REIT Inc",13.97,0.36,+2.65%,2191395,16,-0.46%,+22.72%,"15:29 ET"
APLS,"Apellis Pharmaceuticals Inc",41.01,0.039999999999999,+0.10%,2405621,14,-0.15%,+143.55%,"15:28 ET"
ARM,"Arm Holdings Plc ADR",239.11,30.27,+14.49%,13086198,15,-0.92%,+111.94%,"15:29 ET"
ARW,"Arrow Electronics",193.2,6.79,+3.64%,1271042,13,-0.30%,+46.13%,"15:28 ET"
ARWR,"Arrowhead Pharma",79.08,4.15,+5.54%,917345,13,-0.09%,+45.65%,"15:29 ET"
ASMB,"Assembly Biosciences",31.4,1.85,+6.26%,103051,12,-0.06%,+22.40%,"15:17 ET"
ASX,"Ase Industrial Holding Ltd ADR",34.11,0.67,+2.00%,4810901,20,-0.19%,+65.75%,"15:29 ET"
ATEX,"Anterix Inc.",51.72,1.17,+2.31%,169502,27,-3.00%,+91.13%,"15:27 ET"
ATS,"Ats Corp Cda",33.97,-0.34,-0.99%,249219,13,-2.63%,+25.83%,"15:20 ET"
AUR,"Aurora Innovation Inc Cl A",7.3,0.77,+11.79%,31330480,15,-0.90%,+88.35%,"15:29 ET"
AVB,"Avalonbay Communities",186.84,1.59,+0.86%,387206,7,-0.84%,+16.40%,"15:29 ET"
AVGO,"Broadcom Ltd",422.9,-4.46,-1.04%,11420990,14,-3.29%,+45.58%,"15:29 ET"
AVNS,"Avanos Medical Inc",24.73,0.030000000000001,+0.12%,409405,9,-0.24%,+93.92%,"15:29 ET"
AVT,"Avnet Inc",83.73,1.33,+1.61%,1537609,19,-0.90%,+44.71%,"15:28 ET"
AVTX,"Avalo Therapeutics Inc",21.34,5.08,+31.24%,19111934,13,-4.72%,+74.42%,"15:29 ET"
BATRA,"Atlanta Braves Holdings Inc",55.47,2.2,+4.13%,71762,14,-0.67%,+28.94%,"15:14 ET"
BATRK,"Atlanta Braves Holdings Inc C",51.03,1.62,+3.28%,630997,23,-1.77%,+31.64%,"15:27 ET"
BBCP,"Concrete Pumping Holdings Inc",8.1,0.08,+1.00%,59954,17,-0.37%,+28.46%,"15:23 ET"
BELFA,"BEL Fuse Cl A",254.64,-8.33,-3.17%,43443,14,-5.51%,+59.15%,"15:19 ET"
BELFB,"BEL Fuse Inc Cl B",286.36,-10.81,-3.64%,222317,14,-6.34%,+55.76%,"15:23 ET"
BEN,"Franklin Resources",31.16,0.7,+2.30%,3122318,8,-1.27%,+37.45%,"15:29 ET"
BFRI,"Biofrontera Inc",1.14,-0.01,-0.87%,175140,17,-3.36%,+76.79%,"15:12 ET"
BGIN,"Bgin Blockchain Limited Cl A",3.99,0.22,+5.84%,16348,6,-4.88%,+87.50%,"15:20 ET"
BHE,"Benchmark Electronics",85.44,0.88,+1.04%,261823,21,-1.79%,+69.12%,"15:29 ET"
BHP,"Bhp Billiton Ltd ADR",84.32,5.08,+6.41%,2776723,10,-0.24%,+29.96%,"15:29 ET"
BLDP,"Ballard Power Sys",4.82,0.49,+11.32%,12672249,16,-0.84%,+145.57%,"15:29 ET"
BLMN,"Bloomin' Brands Inc",8.49,2.73,+47.40%,8712977,3,-2.63%,+60.60%,"15:29 ET"
BLNK,"Blink Charging Company",0.8578,0.134,+18.51%,4086510,6,-0.92%,+89.36%,"15:29 ET"
BLRX,"Biolinerx Ltd ADR",3.335,0.295,+9.70%,69217,2,-4.06%,+53.95%,"15:11 ET"
BMO,"Bank of Montreal",155.44,4.42,+2.93%,478665,11,-0.26%,+19.23%,"15:29 ET"
BNS,"Bank of Nova Scotia",78.54,1.87,+2.44%,915715,5,-0.28%,+16.97%,"15:29 ET"
BRKR,"Bruker Corp",42.39,4.38,+11.52%,1935934,4,-3.41%,+29.12%,"15:29 ET"
BTBT,"Bit Digital Inc",1.895,0.105,+5.87%,29948387,3,-1.31%,+50.80%,"15:27 ET"
BTCS,"Btcs Inc",2.28,0.12,+5.56%,1175801,10,-0.44%,+82.00%,"15:29 ET"
BTDR,"Bitdeer Technologies Group",14.72,2.24,+17.95%,11581714,2,-1.40%,+114.44%,"15:29 ET"
BUD,"Anheuser-Busch Inbev S.A. ADR",82.34,1.97,+2.45%,2197751,5,-0.59%,+22.38%,"15:29 ET"
BUUU,"BuUU Group Limited Class A Ordinary Share",21.905,3.735,+20.56%,281999,8,-9.80%,+163.17%,"15:09 ET"
BVS,"Bioventus Inc Cl A",10.91,0.23,+2.15%,780249,7,-4.28%,+37.79%,"15:29 ET"
BYFC,"Broadway Fin Corp",9.37,0.1,+1.08%,5130,7,-0.64%,+31.60%,"14:54 ET"
CABA,"Cabaletta Bio Inc",3.6,-0.55,-13.25%,5576621,12,-15.25%,+48.76%,"15:26 ET"
CACC,"Credit Acceptance",545.48,19.81,+3.77%,233900,7,-3.49%,+34.66%,"15:28 ET"
CARE,"Carter Bankshares Inc",26.16,0.010000000000002,+0.04%,105122,15,-0.68%,+34.88%,"15:29 ET"
CAT,"Caterpillar Inc",929.03,24.44,+2.70%,1757064,14,-0.16%,+39.73%,"15:29 ET"
CATY,"Cathay Genl Bncp",57.15,0.039999999999999,+0.07%,266365,12,-1.23%,+24.87%,"15:28 ET"
CBC,"Central Bancompany Inc Cl A",27.15,-0.24,-0.88%,162396,12,-1.38%,+17.11%,"15:28 ET"
CBT,"Cabot Corp",82.45,3.52,+4.46%,386726,5,-2.93%,+23.28%,"15:21 ET"
CDLR,"Cadeler As ADR",28.91,-0.05,-0.16%,33720,11,-0.70%,+33.14%,"14:59 ET"
CDNL,"Cardinal Infrastructure Group Inc Cl A",54.5,-1.43,-2.56%,223679,23,-5.23%,+127.82%,"15:28 ET"
CDNS,"Cadence Design Sys",353.79,0.16000000000003,+0.05%,1552415,17,-0.29%,+34.44%,"15:29 ET"
CECO,"Ceco Environmental Corp",85.6,-2.18,-2.48%,820292,9,-4.74%,+71.36%,"15:29 ET"
CEVA,"Ceva Inc",34.43,0.71,+2.11%,745250,12,-1.58%,+101.23%,"15:28 ET"
CGCT,"Cartesian Growth Corporation III Cl A",10.415,0.034999999999998,+0.34%,99885,9,-0.24%,+1.81%,"15:14 ET"
CGNT,"Cognyte Software Ltd",10.63,0.75,+7.59%,803087,14,-0.14%,+70.19%,"15:28 ET"
CGNX,"Cognex Corp",61.44,2.61,+4.44%,4013270,4,-0.86%,+48.61%,"15:29 ET"
CHEF,"The Chefs Warehouse",79.81,0.78,+0.99%,222430,12,-1.30%,+40.98%,"15:26 ET"
CIEN,"Ciena Corp",576.04,31.29,+5.74%,1670836,28,-1.80%,+115.02%,"15:29 ET"
CIFR,"Cipher Digital Inc",21.57,-0.53,-2.40%,34828243,8,-6.23%,+83.70%,"15:29 ET"
CLDT,"Chatham Lodging Trust REIT",8.91,-0.01,-0.11%,240802,16,-2.20%,+23.68%,"15:29 ET"
CLSK,"Cleanspark Inc",14.52,1.11,+8.28%,20803881,10,-0.31%,+81.13%,"15:29 ET"
CLYM,"Climb Bio Inc",12.2,0.75,+6.55%,935200,18,-1.26%,+141.21%,"15:29 ET"
CMBT,"Cmb.Tech NV",14.7,-0.43,-2.84%,1352271,12,-2.88%,+25.08%,"15:29 ET"
CMI,"Cummins Inc",712.78,37.9,+5.62%,620780,16,-0.21%,+39.31%,"15:29 ET"
CMP,"Compass Minerals Intl Inc",26.72,0.26,+0.98%,289762,9,-2.56%,+27.38%,"15:28 ET"
