Symbol,Name,Latest,Change,%Change,Volume,"3M #Lo","3M %/High","3M %/Low",Time
ABT,"Abbott Laboratories",86.3,-0.87,-1.00%,12456256,21,-26.12%,+0.17%,2026-05-06
ACI,"Albertsons Companies Inc Cl A",16.03,-0.1,-0.62%,6930617,10,-14.87%,+1.01%,2026-05-06
ACIC,"American Coastal Insurance Corp",10.44,-1.43,-12.05%,857000,4,-15.12%,+6.53%,2026-05-06
ACN,"Accenture Plc",174.57,-4.44,-2.48%,6812995,15,-28.34%,+0.61%,2026-05-06
ALC,"Alcon Inc",65.41,-8.6821,-11.72%,6909374,9,-25.37%,+1.02%,2026-05-06
ALPS,"Alps Group Inc",0.8229,-0.0064,-0.77%,40800,7,-40.80%,0.00%,2026-05-06
AMSF,"Amerisafe Inc",29.6,-0.13,-0.44%,248700,10,-24.59%,+0.61%,2026-05-06
AMTM,"Amentum Holdings Inc",24.89,0.57,+2.34%,1645783,18,-34.32%,+4.80%,2026-05-06
ANGI,"Angi Inc",4.8,-2.61,-35.22%,7122500,14,-60.56%,+5.96%,2026-05-06
ANPA,"Rich Sparkle Holdings Limited",5.56,-0.33,-5.66%,12100,17,-93.18%,+2.21%,2026-05-06
ARTL,"Artelo Biosciences Inc",2.78,-0.3,-9.74%,145300,10,-86.04%,0.00%,2026-05-06
ATEC,"Alphatec Holdings",6.99,-3.24,-31.67%,21598699,21,-52.29%,+2.04%,2026-05-06
ATLN,"Atlantic International Corp",1.5,0.23,+18.11%,7001100,15,-67.11%,+27.12%,2026-05-06
AVAV,"Aerovironment Inc",174.37,7.68,+4.61%,1422000,10,-42.45%,+5.03%,2026-05-06
AZTA,"Azenta Inc",18.38,-6.23,-25.31%,7048300,16,-40.21%,+7.42%,2026-05-06
BAYA,"Bayview Acquisition Corp Cl A",11.93,-0.07,-0.58%,7200,4,-2.53%,+6.80%,2026-05-06
BEEP,"Mobile Infrastructure Corp",1.82,-0.06,-3.19%,15100,22,-45.18%,+1.11%,2026-05-06
BESS,"Bimergen Energy Corp",2.44,0.09,+3.83%,64165,12,-76.01%,+22.00%,2026-05-06
BGI,"Birks Group Inc",0.6774,-0.0077,-1.12%,27360,11,-24.19%,+12.90%,2026-05-06
BGSF,"Bgsf Inc",5.08,-0.35,-6.45%,37556,7,-24.74%,+3.04%,2026-05-06
BMY,"Bristol-Myers Squibb Company",56.59,-0.36,-0.63%,10439381,10,-10.01%,+0.41%,2026-05-06
BNRG,"Brenmiller Energy Ltd",2.45,-0.24,-8.92%,3520100,25,-82.75%,+27.60%,2026-05-06
BOBS,"Bob's Discount Furniture Inc",9.85,-0.18,-1.79%,2259160,16,-58.07%,+1.18%,2026-05-06
BRFH,"Barfresh Food Group",2.4,-0.02,-0.83%,5200,13,-22.47%,0.00%,2026-05-06
BRO,"Brown & Brown",56.56,-0.95,-1.65%,3257239,11,-23.56%,+0.04%,2026-05-06
BSX,"Boston Scientific Corp",56,0.020000000000003,+0.04%,18680175,17,-27.15%,+1.86%,2026-05-06
BTU,"Peabody Energy Corp",24.96,-0.04,-0.16%,5630083,16,-39.33%,+2.72%,2026-05-06
CABO,"Cable One Inc",55.72,-7.58,-11.97%,247338,7,-53.38%,+0.16%,2026-05-06
CACI,"Caci International",499.42,5.38,+1.09%,380998,12,-21.73%,+5.27%,2026-05-06
CATX,"Perspective Therapeutics Inc",3.82,0.17,+4.66%,1598807,7,-35.25%,+7.00%,2026-05-06
CCG,"Cheche Group Inc Cl A",0.6901,0.0248,+3.73%,60500,8,-27.36%,+5.70%,2026-05-06
CDW,"CDW Corp",109,-27.8,-20.32%,6328100,9,-24.54%,+2.83%,2026-05-06
CELH,"Celsius Holdings Inc",32.8,-0.72,-2.15%,17268801,20,-44.70%,+3.14%,2026-05-06
CFBK,"Central Fed Corp",26.75,-0.6,-2.19%,24000,21,-22.09%,+0.07%,2026-05-06
CHTR,"Charter Communications Inc",156.52,-1.71,-1.08%,2951000,15,-38.40%,+0.24%,2026-05-06
CINT,"CI&T Inc Cl A",4.09,0.21,+5.41%,114946,16,-29.48%,+7.35%,2026-05-06
CMND,"Clearmind Medicine Inc",0.5591,-0.0514,-8.42%,861800,12,-63.22%,+7.48%,2026-05-06
CNX,"CNX Resources Corp",36.55,-1.47,-3.87%,2096915,7,-16.21%,+0.74%,2026-05-06
COO,"Cooper Companies",61.12,-0.13,-0.21%,3332700,19,-27.77%,+1.87%,2026-05-06
COR,"Cencora Inc",252.74,-53.16,-17.38%,7858481,16,-32.95%,+3.24%,2026-05-06
CPNG,"Coupang Inc Cl A",17.89,-2.87,-13.82%,80126271,6,-19.56%,+5.92%,2026-05-06
CRD.B,"Crawford Company Cl B",9.36,0.34,+3.77%,17312,14,-19.86%,+5.29%,2026-05-06
CRK,"Comstock Resources",14.99,-2.34,-13.50%,6248220,15,-36.05%,+0.94%,2026-05-06
CRTO,"Criteo S.A. ADR",15.86,-4.26,-21.17%,1350800,5,-22.18%,+1.86%,2026-05-06
CTNT,"Cheetah Net Supply Chain Service Inc Cl A",2.54,-0.15,-5.58%,322400,15,-99.40%,+5.39%,2026-05-06
CVM,"Cel-Sci Corp",1.45,-0.29,-16.67%,838327,18,-73.59%,+0.69%,2026-05-06
DDC,"Ddc Enterprise Limited Cl A",1.54,0.03,+1.99%,139337,19,-51.88%,+7.50%,2026-05-06
DFNS,"T3 Defense Inc",0.42,-0.0192,-4.37%,1945400,23,-84.33%,+2.44%,2026-05-06
DGNX,"Diginex Limited",1.56,-0.25,-13.81%,619300,11,-79.99%,0.00%,2026-05-06
DHR,"Danaher Corp",174.92,0.28999999999999,+0.17%,5983306,16,-20.80%,+1.66%,2026-05-06
DIBS,"1stdibs.com Inc",4.42,-0.16,-3.49%,364700,4,-28.59%,+4.37%,2026-05-06
DLX,"Deluxe Corp",26.22,-4.63,-15.01%,1183765,4,-18.24%,+4.25%,2026-05-06
DOGZ,"Dogness Corp Cl A",1.14,-0.06,-5.00%,45000,3,-34.86%,+3.64%,2026-05-06
DPZ,"Domino's Pizza Inc",324.66,-7.07,-2.13%,1131900,14,-22.28%,+0.77%,2026-05-06
DVLT,"Datavault AI Inc",0.5242,-0.0422,-7.45%,60185098,14,-47.05%,+0.81%,2026-05-06
EDBL,"Edible Garden Ag Inc",0.3923,-0.0168,-4.11%,438200,27,-91.08%,+2.78%,2026-05-06
EHGO,"Eshallgo Inc Cl A",1.88,-0.17,-8.29%,33800,15,-53.00%,+23.68%,2026-05-06
EJH,"E-Home Household Service Holdings Ltd",1.49,-0.07,-4.49%,13000,23,-93.79%,+2.76%,2026-05-06
EMBC,"Embecta Corp",3.56,-0.34,-8.72%,8495300,14,-67.34%,+0.28%,2026-05-06
ENSG,"The Ensign Group IN",175.93,-0.02,-0.01%,653400,10,-19.30%,+0.98%,2026-05-06
EP,"Empire Petroleum Corp",2.72,-0.05,-1.81%,58647,15,-32.00%,+2.26%,2026-05-06
EPAM,"Epam Systems Inc",106.97,-2.67,-2.44%,1889952,19,-44.81%,+0.32%,2026-05-06
EPOW,"E-Power Inc",0.6,-0.1427,-19.21%,3936300,7,-44.44%,+5.26%,2026-05-06
FE,"Firstenergy Corp",45.55,-0.33,-0.72%,8966014,4,-12.97%,+0.53%,2026-05-06
FINW,"Finwise Bancorp",13.59,-0.09,-0.62%,16700,19,-25.19%,+2.18%,2026-05-06
FKWL,"Franklin Wireless Co.",3.51,-0.1,-2.77%,16200,11,-17.97%,+1.74%,2026-05-06
FLNA,"Filana Therapeutics Inc",1.44,0.06,+4.35%,476900,20,-42.17%,+6.67%,2026-05-06
FLUT,"Flutter Entertainment Plc",99.11,-4.22,-4.08%,7005992,12,-36.85%,+1.19%,2026-05-06
FSP,"Franklin Street Properties",0.5351,-0.036,-6.30%,740909,14,-41.84%,+0.77%,2026-05-06
FTCI,"Ftc Solar Inc",4,0.55,+15.94%,498000,15,-61.50%,+25.00%,2026-05-06
GAIA,"Gaiam Inc",2.5,-0.06,-2.34%,140300,11,-28.98%,+2.25%,2026-05-06
GALT,"Galectin Therapeutic",2.25,0.02,+0.90%,382900,7,-35.71%,+3.21%,2026-05-06
